,,,-19.8400E-9,79.999998E-3,,,,,-19.8400E-9,3.44000,
,,,-19.8000E-9,79.999998E-3,,,,,-19.8000E-9,3.44000,
,,,-19.7600E-9,120.0000E-3,,,,,-19.7600E-9,3.44000,
,,,-19.7200E-9,120.0000E-3,,,,,-19.7200E-9,3.44000,
,,,-19.6800E-9,120.0000E-3,,,,,-19.6800E-9,3.44000,
,,,-19.6400E-9,120.0000E-3,,,,,-19.6400E-9,3.44000,
,,,-19.6000E-9,120.0000E-3,,,,,-19.6000E-9,3.44000,
,,,-19.5600E-9,120.0000E-3,,,,,-19.5600E-9,3.44000,
,,,-19.5200E-9,120.0000E-3,,,,,-19.5200E-9,3.44000,
,,,-19.4800E-9,120.0000E-3,,,,,-19.4800E-9,3.44000,
,,,-19.4400E-9,120.0000E-3,,,,,-19.4400E-9,3.44000,
,,,-19.4000E-9,120.0000E-3,,,,,-19.4000E-9,3.44000,
,,,-19.3600E-9,120.0000E-3,,,,,-19.3600E-9,3.44000,
,,,-19.3200E-9,120.0000E-3,,,,,-19.3200E-9,3.44000,
,,,-19.2800E-9,120.0000E-3,,,,,-19.2800E-9,3.44000,
,,,-19.2400E-9,120.0000E-3,,,,,-19.2400E-9,3.44000,
,,,-19.2000E-9,120.0000E-3,,,,,-19.2000E-9,3.44000,
,,,-19.1600E-9,120.0000E-3,,,,,-19.1600E-9,3.44000,
,,,-19.1200E-9,120.0000E-3,,,,,-19.1200E-9,3.44000,
,,,-19.0800E-9,120.0000E-3,,,,,-19.0800E-9,3.44000,
,,,-19.0400E-9,120.0000E-3,,,,,-19.0400E-9,3.44000,
,,,-19.0000E-9,120.0000E-3,,,,,-19.0000E-9,3.44000,
,,,-18.9600E-9,120.0000E-3,,,,,-18.9600E-9,3.44000,
,,,-18.9200E-9,120.0000E-3,,,,,-18.9200E-9,3.44000,
,,,-18.8800E-9,120.0000E-3,,,,,-18.8800E-9,3.44000,
,,,-18.8400E-9,120.0000E-3,,,,,-18.8400E-9,3.44000,
,,,-18.8000E-9,120.0000E-3,,,,,-18.8000E-9,3.44000,
,,,-18.7600E-9,120.0000E-3,,,,,-18.7600E-9,3.44000,
,,,-18.7200E-9,120.0000E-3,,,,,-18.7200E-9,3.44000,
,,,-18.6800E-9,120.0000E-3,,,,,-18.6800E-9,3.44000,
,,,-18.6400E-9,120.0000E-3,,,,,-18.6400E-9,3.44000,
,,,-18.6000E-9,120.0000E-3,,,,,-18.6000E-9,3.44000,
,,,-18.5600E-9,160.00000E-3,,,,,-18.5600E-9,3.44000,
,,,-18.5200E-9,160.00000E-3,,,,,-18.5200E-9,3.44000,
,,,-18.4800E-9,160.00000E-3,,,,,-18.4800E-9,3.44000,
,,,-18.4400E-9,160.00000E-3,,,,,-18.4400E-9,3.44000,
,,,-18.4000E-9,160.00000E-3,,,,,-18.4000E-9,3.44000,
,,,-18.3600E-9,160.00000E-3,,,,,-18.3600E-9,3.44000,
,,,-18.3200E-9,160.00000E-3,,,,,-18.3200E-9,3.44000,
,,,-18.2800E-9,160.00000E-3,,,,,-18.2800E-9,3.44000,
,,,-18.2400E-9,160.00000E-3,,,,,-18.2400E-9,3.44000,
,,,-18.2000E-9,160.00000E-3,,,,,-18.2000E-9,3.44000,
,,,-18.1600E-9,160.00000E-3,,,,,-18.1600E-9,3.44000,
,,,-18.1200E-9,160.00000E-3,,,,,-18.1200E-9,3.44000,
,,,-18.0800E-9,160.00000E-3,,,,,-18.0800E-9,3.44000,
,,,-18.0400E-9,160.00000E-3,,,,,-18.0400E-9,3.44000,
,,,-18.0000E-9,160.00000E-3,,,,,-18.0000E-9,3.44000,
,,,-17.9600E-9,160.00000E-3,,,,,-17.9600E-9,3.44000,
,,,-17.9200E-9,160.00000E-3,,,,,-17.9200E-9,3.44000,
,,,-17.8800E-9,160.00000E-3,,,,,-17.8800E-9,3.44000,
,,,-17.8400E-9,160.00000E-3,,,,,-17.8400E-9,3.44000,
,,,-17.8000E-9,160.00000E-3,,,,,-17.8000E-9,3.44000,
,,,-17.7600E-9,160.00000E-3,,,,,-17.7600E-9,3.44000,
,,,-17.7200E-9,160.00000E-3,,,,,-17.7200E-9,3.44000,
,,,-17.6800E-9,160.00000E-3,,,,,-17.6800E-9,3.44000,
,,,-17.6400E-9,160.00000E-3,,,,,-17.6400E-9,3.44000,
,,,-17.6000E-9,160.00000E-3,,,,,-17.6000E-9,3.44000,
,,,-17.5600E-9,160.00000E-3,,,,,-17.5600E-9,3.44000,
,,,-17.5200E-9,160.00000E-3,,,,,-17.5200E-9,3.44000,
,,,-17.4800E-9,160.00000E-3,,,,,-17.4800E-9,3.44000,
,,,-17.4400E-9,160.00000E-3,,,,,-17.4400E-9,3.44000,
,,,-17.4000E-9,160.00000E-3,,,,,-17.4000E-9,3.44000,
,,,-17.3600E-9,160.00000E-3,,,,,-17.3600E-9,3.44000,
,,,-17.3200E-9,160.00000E-3,,,,,-17.3200E-9,3.44000,
,,,-17.2800E-9,160.00000E-3,,,,,-17.2800E-9,3.44000,
,,,-17.2400E-9,160.00000E-3,,,,,-17.2400E-9,3.44000,
,,,-17.2000E-9,160.00000E-3,,,,,-17.2000E-9,3.44000,
,,,-17.1600E-9,160.00000E-3,,,,,-17.1600E-9,3.44000,
,,,-17.1200E-9,160.00000E-3,,,,,-17.1200E-9,3.44000,
,,,-17.0800E-9,160.00000E-3,,,,,-17.0800E-9,3.44000,
,,,-17.0400E-9,160.00000E-3,,,,,-17.0400E-9,3.44000,
,,,-17.0000E-9,160.00000E-3,,,,,-17.0000E-9,3.44000,
,,,-16.9600E-9,160.00000E-3,,,,,-16.9600E-9,3.44000,
,,,-16.9200E-9,160.00000E-3,,,,,-16.9200E-9,3.44000,
,,,-16.8800E-9,160.00000E-3,,,,,-16.8800E-9,3.44000,
,,,-16.8400E-9,160.00000E-3,,,,,-16.8400E-9,3.44000,
,,,-16.8000E-9,160.00000E-3,,,,,-16.8000E-9,3.44000,
,,,-16.7600E-9,160.00000E-3,,,,,-16.7600E-9,3.44000,
,,,-16.7200E-9,160.00000E-3,,,,,-16.7200E-9,3.44000,
,,,-16.6800E-9,160.00000E-3,,,,,-16.6800E-9,3.44000,
,,,-16.6400E-9,160.00000E-3,,,,,-16.6400E-9,3.44000,
,,,-16.6000E-9,160.00000E-3,,,,,-16.6000E-9,3.44000,
,,,-16.5600E-9,160.00000E-3,,,,,-16.5600E-9,3.44000,
,,,-16.5200E-9,160.00000E-3,,,,,-16.5200E-9,3.44000,
,,,-16.4800E-9,160.00000E-3,,,,,-16.4800E-9,3.44000,
,,,-16.4400E-9,160.00000E-3,,,,,-16.4400E-9,3.44000,
,,,-16.4000E-9,160.00000E-3,,,,,-16.4000E-9,3.44000,
,,,-16.3600E-9,160.00000E-3,,,,,-16.3600E-9,3.44000,
,,,-16.3200E-9,160.00000E-3,,,,,-16.3200E-9,3.44000,
,,,-16.2800E-9,160.00000E-3,,,,,-16.2800E-9,3.44000,
,,,-16.2400E-9,160.00000E-3,,,,,-16.2400E-9,3.44000,
,,,-16.2000E-9,160.00000E-3,,,,,-16.2000E-9,3.44000,
